Google_Translate,Clean_Text,Sentiment
"The first experience staying at the Hyatt KK is not so 
encouraging workers in front of the entrance is not very friendly when I inquired parking. When checking in the room is not available, even though I checked in late, the room should have been available for payment dijelaskan.Kami family had to wait more than half an hour to the hotel providing book my room. (maybe a spare room / maintenance under the tap because the water in the toilet was leaking, the table is not so clean) parking is very limited. ",  first    experience    staying    Hyatt    KK    not    encouraging    workers    front    entrance    not    friendly    inquired    parking    checking    room    not    available    even    though    checked    late    room    available    payment    dijelaskanKami    family    wait    half    hour    hotel    providing    book    room    maybe    spare    room    maintenance    tap    water    toilet    leaking    table    not    clean    parking    limited  ,Negative
cramped cubicle. less good service. took me and my family up booths is not provided towel. forced to request for a towel that shoes basic case that the hotel needs to provide. hygiene is not very satisfactory. veil blankets pillows smelled.,  cramped    cubicle    less    good    service    took    family    booths    not    provided    towel    forced    request    towel    shoes    basic    case    hotel    needs    provide    hygiene    not    satisfactory    veil    blankets    pillows    smelled  ,Negative
creepy. disorders at midnight until daylight. sounds of furniture being dragged to the floor. although deserted house above. lack of facilities such as towels and toiletories. parking lots are very narrow and crowded so visitors had to put the car glazed. I will recommend my friends here. apt not clean as there is no regular cleaning. dusty. advantages are the low price compared to other places ,  creepy    disorders    midnight    daylight    sounds    furniture    dragged    floor    although    deserted    house    lack    facilities    towels    toiletories    parking    lots    narrow    crowded    visitors    put    car    glazed    recommend    friends    apt    not    clean    regular    cleaning    dusty    advantages    low    price    compared    places  ,Negative
very poor .. very rude staff .. rooms are not comfortable ... even better add a little bit more money elsewhere rentals,  poor    rude    staff    rooms    not    comfortable    even    better    add    little    bit    money    elsewhere    rentals  ,Negative
"Poor room quality, rusty water - have to turn the tap on for 15-20 minutes before water is bright again, not many lights off at night - no lights burning. Cabinet burst, collapse hampers closet door.",  Poor    room    quality    rusty    water    turn    tap            minutes    water    bright    not    many    lights    night    lights    burning    Cabinet    burst    collapse    hampers    closet    door  ,Negative
Beds are in use is a bed rack. Sore body when sleeping on it,  Beds    use    bed    rack    Sore    body    sleeping  ,Negative
Not fun. Dirty and unpleasant odors,  Not    fun    Dirty    unpleasant    odors  ,Negative
Air-conditioning does not work well ... very disappointing ... too bad sheets and uncomfortable ...,  Airconditioning    not    work    well    disappointing    bad    sheets    uncomfortable  ,Negative
"parking access card is not in use, due to fluctuations in the office to get out of park. apartment just to sleep alone, close down the block, some time back at 12 hooker waiting for the extra service.",  parking    access    card    not    use    due    fluctuations    office    get    park    apartment    sleep    alone    close    block    time    back          hooker    waiting    extra    service  ,Negative
Cubicles and kitchens are very excessive .. stink. not directly maintained .. the price is not berbaloi .. not encouraged to stay here ..,  Cubicles    kitchens    excessive    stink    not    directly    maintained    price    not    berbaloi    not    encouraged    stay  ,Negative
Necessary to provide sufficient area train layout For visitor convenience.,  Necessary    provide    sufficient    area    train    layout    visitor    convenience  ,Negative
everything is ok except there is a small rat in the chamber,  everything    ok    except    small    rat    chamber  ,Negative
Small room and a light blanket ... there's a lot of room nyamuk.Di not smoke and fined RM5 for smoking is not notified when check-in. Services are nice but the default krn workers ask for a wake-up call is not made. TGH night want to find a little difficult to drink shop closed shop early intrauterine ,  Small    room    light    blanket    theres    lot    room    nyamukDi    not    smoke    fined    RM     smoking    not    notified    checkin    Services    nice    default    krn    workers    ask    wakeup    call    not    made    TGH    night    want    find    little    difficult    drink    shop    closed    shop    early    intrauterine  ,Negative
